customer_id,lifetime,contract_type,monthly_charges,tech_support,satisfaction,churn,churn_by_contract
1000,21,year,178.37,False,1,False,0.5
1001,5,year,236.41,True,9,True,0.5
1002,4,month,214.73,False,3,True,0.51
1003,20,half year,78.44,False,10,True,0.52
1004,15,year,229.61,False,2,False,0.5
1005,15,year,102.1,True,0,True,0.5
1006,2,year,388.2,False,9,True,0.5
1007,18,year,190.86,False,1,True,0.5
1008,13,year,304.18,False,1,False,0.5
1009,20,year,465.02,False,2,False,0.5
1010,16,month,326.91,False,1,False,0.51
1011,3,month,282.55,True,3,False,0.51
1012,5,year,490.39,False,6,True,0.5
1013,6,year,72.9,False,3,False,0.5
1014,14,half year,238.58,False,3,False,0.52
1015,11,year,179.33,True,2,False,0.5
1016,10,month,138.39,False,5,False,0.51
1017,3,half year,361.85,False,4,False,0.52
1018,15,month,269.1,False,7,True,0.51
1019,15,year,484.49,False,0,False,0.5
1020,2,month,104.57,True,3,False,0.51
1021,21,year,132.12,False,9,True,0.5
1022,6,half year,347.1,False,9,True,0.52
1023,11,year,326.21,True,0,True,0.5
1024,7,month,379.12,True,4,False,0.51
1025,4,year,267.53,True,9,True,0.5
1026,23,month,477.71,True,5,False,0.51
1027,5,month,422.49,True,9,True,0.51
1028,4,half year,280.4,False,6,False,0.52
1029,17,year,471.96,False,0,False,0.5
1030,9,year,253.69,False,7,False,0.5
1031,17,year,22.76,False,9,False,0.5
1032,8,half year,288.61,False,3,True,0.52
1033,20,half year,363.36,True,1,False,0.52
1034,18,year,204.73,False,4,False,0.5
1035,4,half year,423.4,False,4,True,0.52
1036,20,half year,67.61,False,4,True,0.52
1037,14,half year,267.02,False,9,False,0.52
1038,2,half year,423.93,False,4,True,0.52
1039,12,month,19.37,False,8,False,0.51
1040,4,year,334.91,True,3,True,0.5
1041,12,month,22.74,False,10,False,0.51
1042,6,month,114.68,False,3,True,0.51
1043,5,month,264.35,False,10,False,0.51
1044,15,year,272.39,False,4,False,0.5
1045,21,half year,416.66,False,6,True,0.52
1046,2,year,226.71,False,7,False,0.5
